Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Step Image,Metadata Step Image,Service-Reference,Process-Title,Process-Description,Step-Number,Display-Order,Status
Landscaping - Materials & Irrigation Planning,landscaping-step-3,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572955,false,false,Wed Apr 29 2026 20:06:46 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 13:55:35 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726d9_69f398be37f88560db13e633_landscaping-step-3.png,"Native trees, plants, and groundcovers are installed per your design. Soil amendments, mulch, rock, and finishing materials are applied for a vibrant, structured Florida landscape.",professional-landscaping-services-in-north-south-florida,Materials & Irrigation Planning,"<p>Specification of plant materials, mulches, soil amendments, and custom hardscape elements. Irrigation system design optimized for plant health and water conservation.</p>",3,3,Published
Landscaping - Landscape Design & Visualization,landscaping-step-2,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572956,false,false,Wed Apr 29 2026 20:06:46 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 13:55:35 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726c9_69f38b72040335ee462a62fc_landscaping-step-2.png,"Existing vegetation and debris are cleared, the area is graded for proper drainage, and all plants and landscape materials are ordered and scheduled for your project delivery date.",professional-landscaping-services-in-north-south-florida,Landscape Design & Visualization,"<p>Complete landscape design showing plant placement, seasonal color progression, irrigation integration, and hardscape features (planters, pathways, focal points). 3D renderings of mature landscape.</p>",2,2,Published
Outdoor Furniture - Delivery Scheduling,outdoor-furniture-step-3,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572957,false,false,Wed Apr 29 2026 20:06:47 GMT+0000 (Coordinated Universal Time),Fri May 01 2026 15:44:03 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726c6_69f38b106506fd24e0d38913_outdoor-furniture-step-3.png,Furniture delivery is coordinated to align with your project completion. Our team professionally places and arranges every piece — so your Florida outdoor space looks perfect from day one.,premium-outdoor-furniture-for-north-south-florida-homes,Delivery Scheduling,"<p>Coordinate and schedule delivery to align with project completion and site readiness. Furniture is delivered, placed, and arranged in the designated areas.</p>",3,3,Published
Outdoor Furniture - Final Touches & Enjoyment,outdoor-furniture-step-4,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572958,false,false,Wed Apr 29 2026 20:06:47 GMT+0000 (Coordinated Universal Time),Fri May 01 2026 15:44:03 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726c5_69f38b011710c8ed4d68259a_outdoor-furniture-step-4.png,"Final positioning and adjustments ensure optimal comfort, flow, and aesthetic balance. Your outdoor living space in Florida is fully complete and ready for relaxing and entertaining.",premium-outdoor-furniture-for-north-south-florida-homes,Final Touches & Enjoyment,<p>Final adjustments completed and space is ready for use and enjoyment.</p>,4,4,Published
Outdoor Furniture - Order Placement,outdoor-furniture-step-2,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572959,false,false,Wed Apr 29 2026 20:06:47 GMT+0000 (Coordinated Universal Time),Fri May 01 2026 15:44:03 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726c7_69f38b24fe1bd007cf51acb1_outdoor-furniture-step-2.png,Your outdoor furniture order is placed and confirmed directly with the supplier. Lead times and delivery specs are locked in to keep your Florida outdoor living project on schedule.,premium-outdoor-furniture-for-north-south-florida-homes,Order Placement,"<p>Furniture is ordered and confirmed with supplier, including lead times and specifications.</p>",2,2,Published
Outdoor Furniture - Planning & Selection,outdoor-furniture-step-1,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e57295a,false,false,Wed Apr 29 2026 20:06:47 GMT+0000 (Coordinated Universal Time),Fri May 01 2026 15:44:03 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726c8_69f38b32a9e906dd95761a51_outdoor-furniture-step-1.png,"Your outdoor furniture project begins with expert consultation to select premium, weather-resistant furniture engineered for Florida's heat, UV exposure, and coastal conditions.",premium-outdoor-furniture-for-north-south-florida-homes,Planning & Selection,"<p>Contract execution, project documentation, and selection of outdoor furniture to match the design and client preferences.</p>",1,1,Published
Outdoor Kitchen - Utility Routing & Building Permits,outdoor-kitchen-step-3,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e57295b,false,false,Wed Apr 29 2026 20:05:42 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 13:55:04 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726dc_69f3995581585b320aa3b5ce_outdoor-kitchen-step-3.png,"Expert framing, stucco texture, premium countertops, professional-grade appliances, and all components installed — your custom Florida outdoor kitchen built for year-round use.",custom-outdoor-kitchens-for-north-south-florida-homes,Utility Routing & Building Permits,"<p>Engineering for gas line routing, electrical distribution, plumbing integration, and structural foundation work. Permit acquisition for utility modifications and outdoor structure installation.</p>",3,3,Published
Outdoor Kitchen - Functionality & Equipment Assessment,outdoor-kitchen-step-1,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e57295c,false,false,Wed Apr 29 2026 20:05:42 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 13:55:04 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726de_69f4c21a6db9292847708ab8_outdoor-kitchen-step-1.png,"Your outdoor kitchen project begins with expert design documentation, structural engineering, and full permit submission managed by our licensed Florida outdoor kitchen contractors.",custom-outdoor-kitchens-for-north-south-florida-homes,Functionality & Equipment Assessment,"<p>Consultation on cooking equipment selection (grills, ovens, cooktops), food prep surfaces, storage needs, and utility integration (gas, electrical, plumbing). We review multi-brand dealer options.</p>",1,1,Published
Outdoor Kitchen - Equipment Installation & System Testing,outdoor-kitchen-step-4,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e57295d,false,false,Wed Apr 29 2026 20:05:42 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 13:55:04 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726db_69f39942432cbcdf8bc8ae58_outdoor-kitchen-step-4.png,"Every appliance, finish, and component is inspected in a detailed walkthrough. Your custom outdoor kitchen in Florida is complete and ready for cooking and entertaining.",custom-outdoor-kitchens-for-north-south-florida-homes,Equipment Installation & System Testing,"<p>Professional installation of all equipment, utility connections, and integration with surrounding elements. Full system testing and operational training for all appliances.</p>",4,4,Published
Outdoor Kitchen - Kitchen Design & Integration,outdoor-kitchen-step-2,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e57295e,false,false,Wed Apr 29 2026 20:05:42 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 13:55:04 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726dd_69f4c204871e6690fbc6d3ec_outdoor-kitchen-step-2.png,"The kitchen site is precisely laid out, concrete bases are poured, and structural framing is completed by experienced contractors for a durable Florida outdoor kitchen build.",custom-outdoor-kitchens-for-north-south-florida-homes,Kitchen Design & Integration,"<p>Comprehensive design showing equipment placement, counter layouts, seating areas, and workflow optimization. 3D renderings display the complete outdoor kitchen experience.</p>",2,2,Published
Pergola Installation - Structural Engineering & Permitting,pergola-installation-step-3,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e57295f,false,false,Wed Apr 29 2026 20:06:13 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 13:54:34 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726d7_69f38ce66506fd24e0d4313a_pergola-installation-step-3.png,"Your custom aluminum pergola is installed in as little as 1–2 days. Decking is completed if included — delivering a durable, low-maintenance shade structure built to Florida wind codes.",custom-aluminum-pergola-builders-in-north-south-florida,Structural Engineering & Permitting,"<p>Structural design verification by licensed engineers, permit acquisition including wind-load certifications, and ARB submissions if required. HVHZ compliance certification for coastal properties.</p>",3,3,Published
Pergola Installation - Pergola Type & Style Selection,pergola-installation-step-1,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572960,false,false,Wed Apr 29 2026 20:06:13 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 13:54:34 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726da_69f3992a8dc71c875a999b81_pergola-installation-step-1.png,"Our aluminum pergola builders finalize your design, prepare all documentation, and manage engineering and permits with local Florida authorities before construction begins.",custom-aluminum-pergola-builders-in-north-south-florida,Pergola Type & Style Selection,"<p>Consultation on pergola categories (louvered, covered, open, clear) with wind-load engineering assessment per ASCE 7-22 structural standards. We review each style's benefits for sun control, durability, and architectural integration.</p>",1,1,Published
Pergola Installation - Installation & System Integration,pergola-installation-step-4,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572961,false,false,Wed Apr 29 2026 20:06:13 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 13:54:34 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726e6_69f4cbe06003ae88098c18f5_pergola-installation-step-4-v2.png,A comprehensive final inspection verifies structural integrity and code compliance. Your outdoor living space is complete — a beautiful aluminum pergola built to last in Florida's climate.,custom-aluminum-pergola-builders-in-north-south-florida,Installation & System Integration,"<p>Professional installation with foundation work, structural alignment verification, motorization testing (if applicable), and integration with smart home systems for seamless operation.</p>",4,4,Published
Pergola Installation - Customization Design & 3D Rendering,pergola-installation-step-2,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572962,false,false,Wed Apr 29 2026 20:06:13 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 13:54:34 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726d8_69f38cf6c8ee2ccd838a2db7_pergola-installation-step-2.png,"The installation site is laid out, concrete footings are poured as required, and all structural inspections are completed — creating a solid, code-compliant foundation for your Florida pergola.",custom-aluminum-pergola-builders-in-north-south-florida,Customization Design & 3D Rendering,"<p>Design of custom dimensions, material finishes (marine-grade stainless steel hardware), automation options (motorized louvers), and integration with existing structures. Full 3D visualization provided.</p>",2,2,Published
Pool Construction - Permits & Regulatory Compliance,pool-construction-step-3,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572963,false,false,Wed Apr 29 2026 20:05:05 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 13:54:34 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726e7_69f4cc30b8f15f56faa45323_pool-construction-step-3-v2.png,"Expert pool excavation, steel rebar, gunite application, tile, coping, decking, and full equipment installation by licensed pool contractors in North & South Florida.",custom-pool-spa-builders-in-north-south-florida,Permits & Regulatory Compliance,"<p>Comprehensive permit acquisition including Notice of Commencement (NOC), VGB compliance certification, and ARB approvals if applicable. We manage all interactions with county building departments and HOA review boards to ensure seamless approval.</p>",3,3,Published
Pool Construction - Site Assessment & Structural Evaluation,pool-construction-step-1,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572964,false,false,Wed Apr 29 2026 20:05:05 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 13:54:34 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726e4_69f4c31b5852ad36a36d90d4_pool-construction-step-1.png,"Start your custom pool project in Florida with a personalized consultation, detailed estimate, and material selections. Mr & Mrs Outdoor Living guides you every step of the way.",custom-pool-spa-builders-in-north-south-florida,Site Assessment & Structural Evaluation,"<p>Comprehensive evaluation of lot configuration, soil stability, and hydrostatic pressure zones using 3D surveying technology. We assess setback requirements per Florida Building Code Chapter 45, HOA restrictions, and geotechnical conditions to determine engineering specifications.</p>",1,1,Published
Pool Construction - Design Consultation & 3D Rendering,pool-construction-step-2,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572965,false,false,Wed Apr 29 2026 20:05:05 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 13:54:34 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726e5_69f4cbba2d990465d68c1a48_pool-construction-step-2-v2.png,Our licensed pool builders prepare full engineering drawings and manage all permits with your Florida municipality — keeping your custom pool project on schedule and fully code-compliant.,custom-pool-spa-builders-in-north-south-florida,Design Consultation & 3D Rendering,"<p>Custom design consultation creating detailed 3D architectural renderings showing pool shape, depth variations, spa integration, and surrounding deck configurations. Our licensed designers present multiple options for approval before construction begins.</p>",2,2,Published
Pool Construction - Construction & Installation,pool-construction-step-4,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572966,false,false,Wed Apr 29 2026 20:05:05 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 13:54:34 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726e3_69f4c293fc42e3a0c19132f5_pool-construction-step-4.png,"Premium interior plaster is applied, your new pool is filled and balanced, and every system is tested. Your custom Florida pool is complete and ready to enjoy from day one.",custom-pool-spa-builders-in-north-south-florida,Construction & Installation,"<p>Full construction execution including gunite shell application with pneumatic concrete, hydrostatic pressure management systems, bond coat application, plaster finishes, equipment installation, and final inspections with CPC licensing.</p>",4,4,Published
Pool Remodel - Renovation Execution & System Upgrades,pool-remodel-step-4,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572967,false,false,Wed Apr 29 2026 20:05:36 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 13:54:34 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726df_69f4c230871e6690fbc6e5aa_pool-remodel-step-4.png,"Bond Kote prep, new interior finish, water fill, and full chemistry balance — your renovated Florida pool is tested, certified, and ready for immediate use and enjoyment.",pool-remodeling-renovation-in-north-south-florida,Renovation Execution & System Upgrades,"<p>Full renovation including surface restoration, equipment replacement, circulation upgrades, and integration of smart automation systems for enhanced functionality and energy efficiency.</p>",4,4,Published
Pool Remodel - Pool Assessment & Condition Analysis,pool-remodel-step-1,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572968,false,false,Wed Apr 29 2026 20:05:36 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 13:54:34 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726e2_69f4c283b83b9052af23ce77_pool-remodel-step-1.png,"Our pool remodeling experts evaluate your pool condition, discuss your renovation goals, and create a fully customized plan to restore and upgrade your outdoor space in Florida.",pool-remodeling-renovation-in-north-south-florida,Pool Assessment & Condition Analysis,"<p>Detailed inspection identifying plaster delamination, structural cracks, equipment aging, circulation inefficiencies, and aesthetic improvements needed. We use underwater camera inspection to assess interior conditions and plan targeted renovations.</p>",1,1,Published
Pool Remodel - Permits & Project Coordination,pool-remodel-step-3,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e572969,false,false,Wed Apr 29 2026 20:05:36 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 13:54:34 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726e0_69f4c25f54ea1a32a20313ac_pool-remodel-step-3.png,"New tile, coping, updated decking, energy-efficient equipment, and custom features are installed by skilled pool remodeling contractors using premium Florida-rated materials.",pool-remodeling-renovation-in-north-south-florida,Permits & Project Coordination,"<p>Acquisition of renovation permits and coordinated scheduling with utility providers. For major renovations, Notice of Commencement filing and ARB re-approval may be required.</p>",3,3,Published
Pool Remodel - Renovation Design & Material Selection,pool-remodel-step-2,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e57296a,false,false,Wed Apr 29 2026 20:05:36 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 13:54:34 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726e1_69f4c27234553be8792ba7ef_pool-remodel-step-2.png,"Old tile, coping, and worn materials are safely removed. Structural repairs are completed and the pool surface is professionally prepared for a flawless, long-lasting new finish.",pool-remodeling-renovation-in-north-south-florida,Renovation Design & Material Selection,"<p>Design consultation for modernization including updated finishes, enhanced circulation systems, lighting upgrades, and deck resurfacing options. We present 3D renderings showing before/after transformations.</p>",2,2,Published
Retractable Screen - Screen System Assessment & Selection,retractable-screen-step-1,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e57296b,false,false,Wed Apr 29 2026 20:06:29 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 13:55:04 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726d6_69f38cc2bf7ad5c2f52170a5_retractable-screen-step-1.png,"Contract execution, full project documentation, and precision final measurements are completed — ensuring your motorized retractable screen system is custom-built to fit your Florida home.",motorized-retractable-screens-in-north-south-florida,Screen System Assessment & Selection,"<p>Comprehensive consultation on retractable screen benefits, motorization options, and MaestroShield system selection. Assessment of door/window configurations and retraction requirements.</p>",1,1,Published
Retractable Screen - Installation & System Activation,retractable-screen-step-4,6a8f67a39235e3662e5723e6,6a8f67a39235e3662e5721ff,6a8f67a39235e3662e57296c,false,false,Wed Apr 29 2026 20:06:29 GMT+0000 (Coordinated Universal Time),Mon May 18 2026 13:55:04 GMT+0000 (Coordinated Universal Time),,https://cdn.prod.website-files.com/6a8f67a39235e3662e5721fe/6a8f67a39235e3662e5726d3_69f38c83c8ee2ccd8389c949_retractable-screen-step-4.png,"Each motorized screen system is fully tested and inspected. A final walkthrough confirms flawless operation — your screens are ready to deliver shade, privacy, and insect protection.",motorized-retractable-screens-in-north-south-florida,Installation & System Activation,"<p>Professional installation of track systems, screen mechanisms, and motorization (if included). Full testing of retraction/extension, integration with smart home systems, and customer training.</p>",4,4,Published
